Benchmark,Mode,Threads,Samples,Score,Score Error (99.9%),Unit,Param: bufferSize,Param: inputFile,Param: nbRows,Param: quoted,Param: wrapWithBufferedReader
JCsvParser,avgt,1,50,4522937.507,1651.591018,us/op,,./worldcitiespop.txt,3173959,FALSE,FALSE
JacksonParser,avgt,1,50,20.79500461,0.228376566,us/op,,./worldcitiespop.txt,1,TRUE,FALSE
JacksonParser,avgt,1,50,20.55599841,0.177228373,us/op,,./worldcitiespop.txt,1,FALSE,FALSE
JacksonParser,avgt,1,50,31.79873565,0.139090677,us/op,,./worldcitiespop.txt,10,TRUE,FALSE
JacksonParser,avgt,1,50,28.91316074,0.094257584,us/op,,./worldcitiespop.txt,10,FALSE,FALSE
JacksonParser,avgt,1,50,144.226789,0.20831821,us/op,,./worldcitiespop.txt,100,TRUE,FALSE
JacksonParser,avgt,1,50,109.420686,0.323602796,us/op,,./worldcitiespop.txt,100,FALSE,FALSE
JacksonParser,avgt,1,50,1462.092246,8.440288795,us/op,,./worldcitiespop.txt,1000,TRUE,FALSE
JacksonParser,avgt,1,50,959.9165934,3.866291488,us/op,,./worldcitiespop.txt,1000,FALSE,FALSE
JacksonParser,avgt,1,50,13966.32912,40.00135001,us/op,,./worldcitiespop.txt,10000,TRUE,FALSE
JacksonParser,avgt,1,50,9259.314947,17.76399125,us/op,,./worldcitiespop.txt,10000,FALSE,FALSE
JacksonParser,avgt,1,50,140360.801,792.8011513,us/op,,./worldcitiespop.txt,100000,TRUE,FALSE
JacksonParser,avgt,1,50,91718.92237,206.5219727,us/op,,./worldcitiespop.txt,100000,FALSE,FALSE
JacksonParser,avgt,1,50,1380760.386,8408.762822,us/op,,./worldcitiespop.txt,1000000,TRUE,FALSE
JacksonParser,avgt,1,50,904262.3305,3207.121852,us/op,,./worldcitiespop.txt,1000000,FALSE,FALSE
JacksonParser,avgt,1,50,4401189.3,39874.05895,us/op,,./worldcitiespop.txt,3173959,TRUE,FALSE
JacksonParser,avgt,1,50,2862200.828,9286.615124,us/op,,./worldcitiespop.txt,3173959,FALSE,FALSE
JavaCsvParser,avgt,1,50,31.81209224,1.411097939,us/op,,./worldcitiespop.txt,1,TRUE,FALSE
JavaCsvParser,avgt,1,50,31.08815765,1.366831543,us/op,,./worldcitiespop.txt,1,FALSE,FALSE
JavaCsvParser,avgt,1,50,43.27494003,0.705698087,us/op,,./worldcitiespop.txt,10,TRUE,FALSE
JavaCsvParser,avgt,1,50,41.39476334,0.451389319,us/op,,./worldcitiespop.txt,10,FALSE,FALSE
JavaCsvParser,avgt,1,50,194.0141481,2.368273113,us/op,,./worldcitiespop.txt,100,TRUE,FALSE
JavaCsvParser,avgt,1,50,176.1595256,1.514775358,us/op,,./worldcitiespop.txt,100,FALSE,FALSE
JavaCsvParser,avgt,1,50,1820.177181,10.80960796,us/op,,./worldcitiespop.txt,1000,TRUE,FALSE
JavaCsvParser,avgt,1,50,1588.14569,5.2670549,us/op,,./worldcitiespop.txt,1000,FALSE,FALSE
JavaCsvParser,avgt,1,50,17776.70689,29.34684707,us/op,,./worldcitiespop.txt,10000,TRUE,FALSE
JavaCsvParser,avgt,1,50,15130.66991,42.09371867,us/op,,./worldcitiespop.txt,10000,FALSE,FALSE
JavaCsvParser,avgt,1,50,184548.2442,1467.113521,us/op,,./worldcitiespop.txt,100000,TRUE,FALSE
JavaCsvParser,avgt,1,50,152590.8083,370.209055,us/op,,./worldcitiespop.txt,100000,FALSE,FALSE
