Benchmark,Mode,Threads,Samples,Score,Score Error (99.9%),Unit,Param: bufferSize,Param: inputFile,Param: nbRows,Param: quoted,Param: wrapWithBufferedReader
CommonsCsvParser,avgt,1,50,20.36278928,0.070433362,us/op,,./worldcitiespop.txt,1,TRUE,FALSE
CommonsCsvParser,avgt,1,50,19.2818907,0.07126067,us/op,,./worldcitiespop.txt,1,FALSE,FALSE
CommonsCsvParser,avgt,1,50,41.2431905,0.164008615,us/op,,./worldcitiespop.txt,10,TRUE,FALSE
CommonsCsvParser,avgt,1,50,34.18353932,0.154455693,us/op,,./worldcitiespop.txt,10,FALSE,FALSE
CommonsCsvParser,avgt,1,50,252.8958566,0.815519182,us/op,,./worldcitiespop.txt,100,TRUE,FALSE
CommonsCsvParser,avgt,1,50,178.337413,0.191308159,us/op,,./worldcitiespop.txt,100,FALSE,FALSE
CommonsCsvParser,avgt,1,50,2385.5251,11.71591672,us/op,,./worldcitiespop.txt,1000,TRUE,FALSE
CommonsCsvParser,avgt,1,50,1780.888062,5.90696804,us/op,,./worldcitiespop.txt,1000,FALSE,FALSE
CommonsCsvParser,avgt,1,50,24277.70976,42.03663161,us/op,,./worldcitiespop.txt,10000,TRUE,FALSE
CommonsCsvParser,avgt,1,50,16980.90896,47.45275091,us/op,,./worldcitiespop.txt,10000,FALSE,FALSE
CommonsCsvParser,avgt,1,50,244260.1362,809.0405224,us/op,,./worldcitiespop.txt,100000,TRUE,FALSE
CommonsCsvParser,avgt,1,50,171601.3904,828.7960562,us/op,,./worldcitiespop.txt,100000,FALSE,FALSE
CommonsCsvParser,avgt,1,50,2403832.584,10259.97932,us/op,,./worldcitiespop.txt,1000000,TRUE,FALSE
CommonsCsvParser,avgt,1,50,1667304.993,6859.229362,us/op,,./worldcitiespop.txt,1000000,FALSE,FALSE
CommonsCsvParser,avgt,1,50,7658031.905,36608.13881,us/op,,./worldcitiespop.txt,3173959,TRUE,FALSE
CommonsCsvParser,avgt,1,50,5343597.193,22852.12518,us/op,,./worldcitiespop.txt,3173959,FALSE,FALSE
GenJavaParser,avgt,1,50,22.57644065,0.113477455,us/op,,./worldcitiespop.txt,1,TRUE,FALSE
GenJavaParser,avgt,1,50,22.18348851,0.103714368,us/op,,./worldcitiespop.txt,1,FALSE,FALSE
GenJavaParser,avgt,1,50,50.0102317,0.164576461,us/op,,./worldcitiespop.txt,10,TRUE,FALSE
GenJavaParser,avgt,1,50,43.26928897,0.143384955,us/op,,./worldcitiespop.txt,10,FALSE,FALSE
GenJavaParser,avgt,1,50,378.4607407,0.955812743,us/op,,./worldcitiespop.txt,100,TRUE,FALSE
GenJavaParser,avgt,1,50,308.311955,0.471113564,us/op,,./worldcitiespop.txt,100,FALSE,FALSE
GenJavaParser,avgt,1,50,4069.736661,5.102925771,us/op,,./worldcitiespop.txt,1000,TRUE,FALSE
GenJavaParser,avgt,1,50,3376.421259,6.063004789,us/op,,./worldcitiespop.txt,1000,FALSE,FALSE
GenJavaParser,avgt,1,50,48406.70621,131.5623952,us/op,,./worldcitiespop.txt,10000,TRUE,FALSE
GenJavaParser,avgt,1,50,38819.71991,862.6992585,us/op,,./worldcitiespop.txt,10000,FALSE,FALSE
GenJavaParser,avgt,1,50,479780.8011,1061.291335,us/op,,./worldcitiespop.txt,100000,TRUE,FALSE
GenJavaParser,avgt,1,50,391391.1905,927.0880753,us/op,,./worldcitiespop.txt,100000,FALSE,FALSE
GenJavaParser,avgt,1,50,4869382.851,36485.82577,us/op,,./worldcitiespop.txt,1000000,TRUE,FALSE
GenJavaParser,avgt,1,50,4099708.917,6534.694851,us/op,,./worldcitiespop.txt,1000000,FALSE,FALSE
GenJavaParser,avgt,1,50,1.55E+07,63971.59963,us/op,,./worldcitiespop.txt,3173959,TRUE,FALSE
GenJavaParser,avgt,1,50,9630511.794,15664.30384,us/op,,./worldcitiespop.txt,3173959,FALSE,FALSE
JCsvParser,avgt,1,50,21.799517,0.16392971,us/op,,./worldcitiespop.txt,1,TRUE,FALSE
JCsvParser,avgt,1,50,21.25864564,0.150539547,us/op,,./worldcitiespop.txt,1,FALSE,FALSE
JCsvParser,avgt,1,50,33.19203139,0.11920447,us/op,,./worldcitiespop.txt,10,TRUE,FALSE
JCsvParser,avgt,1,50,28.68400714,0.12216877,us/op,,./worldcitiespop.txt,10,FALSE,FALSE
JCsvParser,avgt,1,50,146.6399278,0.834027511,us/op,,./worldcitiespop.txt,100,TRUE,FALSE
JCsvParser,avgt,1,50,105.1521179,0.602715732,us/op,,./worldcitiespop.txt,100,FALSE,FALSE
JCsvParser,avgt,1,50,1360.518487,10.15101276,us/op,,./worldcitiespop.txt,1000,TRUE,FALSE
JCsvParser,avgt,1,50,1011.240249,13.60138184,us/op,,./worldcitiespop.txt,1000,FALSE,FALSE
