Benchmark,Mode,Threads,Samples,Score,Score Error (99.9%),Unit,Param: bufferSize,Param: inputFile,Param: nbRows,Param: quoted,Param: wrapWithBufferedReader
CommonsCsvParser,avgt,1,50,16.87157839,0.079371052,us/op,,./worldcitiespop.txt,1,TRUE,FALSE
CommonsCsvParser,avgt,1,50,16.4140683,0.161651817,us/op,,./worldcitiespop.txt,1,FALSE,FALSE
CommonsCsvParser,avgt,1,50,34.23016114,0.11425807,us/op,,./worldcitiespop.txt,10,TRUE,FALSE
CommonsCsvParser,avgt,1,50,30.17714519,0.179507144,us/op,,./worldcitiespop.txt,10,FALSE,FALSE
CommonsCsvParser,avgt,1,50,209.504118,0.290467193,us/op,,./worldcitiespop.txt,100,TRUE,FALSE
CommonsCsvParser,avgt,1,50,169.5258261,2.062529218,us/op,,./worldcitiespop.txt,100,FALSE,FALSE
CommonsCsvParser,avgt,1,50,2074.486269,6.109869613,us/op,,./worldcitiespop.txt,1000,TRUE,FALSE
CommonsCsvParser,avgt,1,50,1728.941582,31.34811198,us/op,,./worldcitiespop.txt,1000,FALSE,FALSE
CommonsCsvParser,avgt,1,50,20196.61671,107.0954802,us/op,,./worldcitiespop.txt,10000,TRUE,FALSE
CommonsCsvParser,avgt,1,50,15484.71177,43.47149293,us/op,,./worldcitiespop.txt,10000,FALSE,FALSE
CommonsCsvParser,avgt,1,50,200649.1412,569.7678182,us/op,,./worldcitiespop.txt,100000,TRUE,FALSE
CommonsCsvParser,avgt,1,50,170333.0104,1015.527492,us/op,,./worldcitiespop.txt,100000,FALSE,FALSE
CommonsCsvParser,avgt,1,50,1974438.213,8202.883076,us/op,,./worldcitiespop.txt,1000000,TRUE,FALSE
CommonsCsvParser,avgt,1,50,1683754.645,15125.65425,us/op,,./worldcitiespop.txt,1000000,FALSE,FALSE
CommonsCsvParser,avgt,1,50,6298800.787,17367.54688,us/op,,./worldcitiespop.txt,3173959,TRUE,FALSE
CommonsCsvParser,avgt,1,50,5322571.132,50425.99317,us/op,,./worldcitiespop.txt,3173959,FALSE,FALSE
GenJavaParser,avgt,1,50,19.009101,0.136548332,us/op,,./worldcitiespop.txt,1,TRUE,FALSE
GenJavaParser,avgt,1,50,18.45029274,0.118983155,us/op,,./worldcitiespop.txt,1,FALSE,FALSE
GenJavaParser,avgt,1,50,47.85902322,0.714541651,us/op,,./worldcitiespop.txt,10,TRUE,FALSE
GenJavaParser,avgt,1,50,42.60262928,0.556785733,us/op,,./worldcitiespop.txt,10,FALSE,FALSE
GenJavaParser,avgt,1,50,373.3538711,1.890280973,us/op,,./worldcitiespop.txt,100,TRUE,FALSE
GenJavaParser,avgt,1,50,308.6826981,1.878614097,us/op,,./worldcitiespop.txt,100,FALSE,FALSE
GenJavaParser,avgt,1,50,3941.177495,17.98596539,us/op,,./worldcitiespop.txt,1000,TRUE,FALSE
GenJavaParser,avgt,1,50,3326.237863,34.75416643,us/op,,./worldcitiespop.txt,1000,FALSE,FALSE
GenJavaParser,avgt,1,50,39546.31459,1065.04853,us/op,,./worldcitiespop.txt,10000,TRUE,FALSE
GenJavaParser,avgt,1,50,32579.50886,859.9188102,us/op,,./worldcitiespop.txt,10000,FALSE,FALSE
GenJavaParser,avgt,1,50,422574.0581,1405.221048,us/op,,./worldcitiespop.txt,100000,TRUE,FALSE
GenJavaParser,avgt,1,50,339035.4268,875.2193907,us/op,,./worldcitiespop.txt,100000,FALSE,FALSE
GenJavaParser,avgt,1,50,4899920.826,63985.48561,us/op,,./worldcitiespop.txt,1000000,TRUE,FALSE
GenJavaParser,avgt,1,50,3756598.004,24637.64758,us/op,,./worldcitiespop.txt,1000000,FALSE,FALSE
GenJavaParser,avgt,1,50,1.60E+07,222390.5267,us/op,,./worldcitiespop.txt,3173959,TRUE,FALSE
GenJavaParser,avgt,1,50,8704666.274,41212.34637,us/op,,./worldcitiespop.txt,3173959,FALSE,FALSE
JCsvParser,avgt,1,50,18.35306753,0.05952743,us/op,,./worldcitiespop.txt,1,TRUE,FALSE
JCsvParser,avgt,1,50,18.07561959,0.082442272,us/op,,./worldcitiespop.txt,1,FALSE,FALSE
JCsvParser,avgt,1,50,29.7932419,0.199948673,us/op,,./worldcitiespop.txt,10,TRUE,FALSE
JCsvParser,avgt,1,50,27.01846576,0.100607248,us/op,,./worldcitiespop.txt,10,FALSE,FALSE
JCsvParser,avgt,1,50,144.3480688,1.532783864,us/op,,./worldcitiespop.txt,100,TRUE,FALSE
JCsvParser,avgt,1,50,117.3761334,0.507038112,us/op,,./worldcitiespop.txt,100,FALSE,FALSE
JCsvParser,avgt,1,50,1392.682091,17.93447546,us/op,,./worldcitiespop.txt,1000,TRUE,FALSE
