"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: inputFile","Param: nbRows","Param: quoted","Param: wrapWithBufferedReader"
"com.univocity.articles.jmh.CommonsCsvParser.parseFile","avgt",1,50,20.362789275408705,0.07043336234946952,"us/op","./worldcitiespop.txt","1","true","false"
"com.univocity.articles.jmh.CommonsCsvParser.parseFile","avgt",1,50,19.281890697407977,0.0712606703185927,"us/op","./worldcitiespop.txt","1","false","false"
"com.univocity.articles.jmh.CommonsCsvParser.parseFile","avgt",1,50,41.243190499996665,0.16400861466576752,"us/op","./worldcitiespop.txt","10","true","false"
"com.univocity.articles.jmh.CommonsCsvParser.parseFile","avgt",1,50,34.18353931982244,0.1544556934820643,"us/op","./worldcitiespop.txt","10","false","false"
"com.univocity.articles.jmh.CommonsCsvParser.parseFile","avgt",1,50,252.89585658270371,0.8155191822361284,"us/op","./worldcitiespop.txt","100","true","false"
"com.univocity.articles.jmh.CommonsCsvParser.parseFile","avgt",1,50,178.33741304169652,0.1913081589052839,"us/op","./worldcitiespop.txt","100","false","false"
"com.univocity.articles.jmh.CommonsCsvParser.parseFile","avgt",1,50,2385.525099736832,11.71591671858289,"us/op","./worldcitiespop.txt","1000","true","false"
"com.univocity.articles.jmh.CommonsCsvParser.parseFile","avgt",1,50,1780.8880618710893,5.906968039995941,"us/op","./worldcitiespop.txt","1000","false","false"
"com.univocity.articles.jmh.CommonsCsvParser.parseFile","avgt",1,50,24277.70975508213,42.036631610630955,"us/op","./worldcitiespop.txt","10000","true","false"
"com.univocity.articles.jmh.CommonsCsvParser.parseFile","avgt",1,50,16980.90895621912,47.4527509094354,"us/op","./worldcitiespop.txt","10000","false","false"
"com.univocity.articles.jmh.CommonsCsvParser.parseFile","avgt",1,50,244260.13619199992,809.0405224039321,"us/op","./worldcitiespop.txt","100000","true","false"
"com.univocity.articles.jmh.CommonsCsvParser.parseFile","avgt",1,50,171601.39042857144,828.7960562159727,"us/op","./worldcitiespop.txt","100000","false","false"
"com.univocity.articles.jmh.CommonsCsvParser.parseFile","avgt",1,50,2403832.5837600003,10259.979317893774,"us/op","./worldcitiespop.txt","1000000","true","false"
"com.univocity.articles.jmh.CommonsCsvParser.parseFile","avgt",1,50,1667304.9934800002,6859.229362118813,"us/op","./worldcitiespop.txt","1000000","false","false"
"com.univocity.articles.jmh.CommonsCsvParser.parseFile","avgt",1,50,7658031.90528,36608.13881150259,"us/op","./worldcitiespop.txt","-1","true","false"
"com.univocity.articles.jmh.CommonsCsvParser.parseFile","avgt",1,50,5343597.192659999,22852.125178267423,"us/op","./worldcitiespop.txt","-1","false","false"
"com.univocity.articles.jmh.GenJavaParser.parseFile","avgt",1,50,22.576440648279718,0.1134774553213664,"us/op","./worldcitiespop.txt","1","true","false"
"com.univocity.articles.jmh.GenJavaParser.parseFile","avgt",1,50,22.183488506666276,0.10371436805128241,"us/op","./worldcitiespop.txt","1","false","false"
"com.univocity.articles.jmh.GenJavaParser.parseFile","avgt",1,50,50.01023169781108,0.1645764613129308,"us/op","./worldcitiespop.txt","10","true","false"
"com.univocity.articles.jmh.GenJavaParser.parseFile","avgt",1,50,43.26928896580452,0.14338495527241216,"us/op","./worldcitiespop.txt","10","false","false"
"com.univocity.articles.jmh.GenJavaParser.parseFile","avgt",1,50,378.4607407008827,0.9558127432032668,"us/op","./worldcitiespop.txt","100","true","false"
"com.univocity.articles.jmh.GenJavaParser.parseFile","avgt",1,50,308.3119550397346,0.47111356410735267,"us/op","./worldcitiespop.txt","100","false","false"
"com.univocity.articles.jmh.GenJavaParser.parseFile","avgt",1,50,4069.736661062597,5.102925771264438,"us/op","./worldcitiespop.txt","1000","true","false"
"com.univocity.articles.jmh.GenJavaParser.parseFile","avgt",1,50,3376.421259061395,6.063004788554451,"us/op","./worldcitiespop.txt","1000","false","false"
"com.univocity.articles.jmh.GenJavaParser.parseFile","avgt",1,50,48406.70621130436,131.5623952368245,"us/op","./worldcitiespop.txt","10000","true","false"
"com.univocity.articles.jmh.GenJavaParser.parseFile","avgt",1,50,38819.71991413794,862.6992585332799,"us/op","./worldcitiespop.txt","10000","false","false"
"com.univocity.articles.jmh.GenJavaParser.parseFile","avgt",1,50,479780.80114,1061.291334731477,"us/op","./worldcitiespop.txt","100000","true","false"
"com.univocity.articles.jmh.GenJavaParser.parseFile","avgt",1,50,391391.1905066666,927.0880753274249,"us/op","./worldcitiespop.txt","100000","false","false"
